Local,Preu,Direcció,Districte,Coordenades,Link,Data
Il café di Donatto,"2,10 €","Carrer de Miquel Ferrà, 3, Nou Barris, 08031 Barcelona",Nou Barris,"41.43009699531158, 2.1734232718273057",https://www.google.com/maps/place/Il+caf%C3%A9+di+Donatto/data=!4m2!3m1!19sChIJz_WP68C9pBIR6oXn8hEKwxY,27/12/23
Pepa Tomate Gràcia,"3,30 €","Plaça Revolució de Setembre 1868, 17, Gràcia, 08012 Barcelona",Gràcia,"41.40241311304095, 2.158198713631431",https://www.google.com/maps/place/Pepa+Tomate+Gr%C3%A0cia/data=!4m2!3m1!19sChIJZ9fQvb2ipBIRyaZy8wUqRGQ,3/01/24
El Cafè d'en Víctor. Restaurante. Bar de tapas. Tapería.,"2,75 €","Carrer de la Tapineria, 12, Ciutat Vella, 08002 Barcelona",Ciutat Vella,"41.38475498867363, 2.1767228472593008",https://www.google.com/maps/place/El+Caf%C3%A8+d'en+V%C3%ADctor.+Restaurante.+Bar+de+tapas.+Taper%C3%ADa./data=!4m2!3m1!19sChIJOTaum_mipBIR-75RlLusOKo,5/01/24
Santa Maria del Mar,"3,55 €","Plaça de Santa Maria, 4, Ciutat Vella, 08003 Barcelona",Ciutat Vella,"41.38330567804903, 2.1820107079154383",https://maps.app.goo.gl/fMLV3TvBqnaELZvH7,5/01/24
Resturante Ramen,"2,20 €","Carrer de Torroella de Montgrí, 25, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.4285260865383, 2.186296189023809",https://www.google.com/maps/place/Resturante+Ramen/data=!4m2!3m1!19sChIJRZwaxte8pBIRcwJo9F8xkuY,5/01/24
Restaurante América,"2,30 €","C/ de l'Escorial, 106, Gràcia, 08024 Barcelona",Gràcia,"41.408721235651825, 2.160155934475473",https://www.google.com/maps/place/Restaurante+Am%C3%A9rica/data=!4m2!3m1!19sChIJbzFygrmipBIRbQIKy_kgTb8,8/01/24
Moreno Bar Tapas,"2,10 €","Av. de la Mare de Déu de Montserrat, 257, Horta-Guinardó, 08041 Barcelona",Horta-Guinardó,"41.42408882230496, 2.175749463010626",https://www.google.com/maps/place/Moreno+Bar+Tapas/data=!4m2!3m1!19sChIJe66PvS29pBIRJoWeMc6tTQY,10/01/24
4 Latas Letamendi,"2,90 €","C. d'Enric Granados, 6, L'Eixample, 08007 Barcelona",Eixample,"41.38848794630618, 2.161794523169726",https://www.google.com/maps/place/4+Latas+Letamendi/data=!4m2!3m1!19sChIJZQQ8tr2jpBIRDVzp-DvF4Ic,10/01/24
Com a Casa,"2,30 €","Carrer de Pere Terré i Domènech, 14, 16, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.42588476209456, 2.191816385231935",https://www.google.com/maps/place/Com+a+Casa/data=!4m2!3m1!19sChIJLemAiNG8pBIRB6GPnlZnawc,11/01/24
El Carro Gros,"2,50 €","Plaça del Sortidor, 14, Sants-Montjuïc, 08004 Barcelona",Sants-Montjuïc,"41.372218220256784, 2.1626665014894755",https://www.google.com/maps/place/El+Carro+Gros/data=!4m2!3m1!19sChIJv5oktmeipBIRuLIku760LO8,12/01/24
Bar Restaurant Sofy,"2,20 €","C/ de Felip II, 271, Nou Barris, 08016 Barcelona",Nou Barris,"41.42851050021063, 2.1759701981642734",https://www.google.com/maps/place/Bar+Restaurant+Sofy/data=!4m2!3m1!19sChIJqfn3sy-9pBIRJ4AOs-st9qg,12/01/24
Espit Chupitos,"3,00 €","Carrer d'Aribau, 77, L'Eixample, 08032 Barcelona",Eixample,"41.38934760870726, 2.1578678009894148",https://www.google.com/maps/place/Espit+Chupitos/data=!4m2!3m1!19sChIJwUaKRY6ipBIRARUS6iUPjEk,13/01/24
Lido,"2,50 €","Gran Via de les Corts Catalanes, 560, L'Eixample, 08011 Barcelona",Eixample,"41.383495282854, 2.1609089795655083",https://www.google.com/maps/place/Lido/data=!4m2!3m1!19sChIJRX65youipBIRBwOD4oIZ8xU,13/01/24
Polaroid Bar,"2,50 €","Carrer dels Còdols, 29, Ciutat Vella, 08002 Barcelona",Ciutat Vella,"41.379330080396905, 2.1787408874629053",https://www.google.com/maps/place/Polaroid+Bar/data=!4m2!3m1!19sChIJqR1cclaipBIR0xLroXH4Pz0,14/01/24
Bar Bilbilis,"2,20 €","C. d'Antoni Costa, 24, Distrito de Nou Barris, 08016 Barcelona",Nou Barris,"41.43092165925054, 2.181871205789937",https://www.google.com/maps/place/Bar+Bilbilis/data=!4m2!3m1!19sChIJ55at1Ce9pBIRkZa9Qj_7Czc,16/01/24
Encanto,"2,20 €","C. de Cartellà, 17, Nou Barris, 08031 Barcelona",Nou Barris,"41.42714576765212, 2.1743145321251838",https://maps.app.goo.gl/o1LNrwT1ctuFEVCfA,20/01/24
Frankfurt Iberic,"2,05 €","Pg. de Fabra i Puig, 300, Nou Barris, 08031 Barcelona",Nou Barris,"41.43049711808951, 2.1710518834040227",https://maps.app.goo.gl/mYPiKcr2DxtirbS19,20/01/24
Lateral Consell de Cent,"4,00 €","C/ del Consell de Cent, 329, L'Eixample, 08007 Barcelona",Eixample,"41.38985151341556, 2.163829585587909",https://maps.app.goo.gl/RrKoN5kRGzaQhrRq7,23/01/24
Al Teu Gust,"2,20 €","C/ d'Alella, 5, 7, Distrito de Nou Barris, 08016 Barcelona",Nou Barris,"41.431354585682506, 2.1810001367905953",https://maps.app.goo.gl/cpHyqMTriFMrFMcd8,23/01/24
Terra Bar S C P,"3,40 €","Plaça de la Virreina, 5, Gràcia, 08024 Barcelona",Gràcia,"41.40494150771099, 2.1569772583484954",https://maps.app.goo.gl/a7VWNYNJfe6MRNfz8,25/01/24
Space Cowboy,"3,50 €","C/ dels Carders, 31, Ciutat Vella, 08003 Barcelona",Ciutat Vella,"41.386984398528234, 2.180284215136492",https://maps.app.goo.gl/siYjVnHqZqp7sjn68,26/01/24
Monopol,"2,60 €","Rambla del Poblenou, 74, Sant Martí, 08005 Barcelona",Sant Martí,"41.40125943479774, 2.2012318089568828",https://maps.app.goo.gl/WNN991mTibXUj6rv6,26/01/24
Dunne's Irish Bar and Restaurant,"3,00 €","Via Laietana, 19, Ciutat Vella, 08003 Barcelona",Ciutat Vella,"41.38365344910685, 2.1788453978382685",https://maps.app.goo.gl/vqQaFdrjVAVkExue6,27/01/24
V de Vermut,"3,00 €","Carrer de Manso, 1, Local 2, L'Eixample, 08015 Barcelona",Eixample,"41.37550241585035, 2.15864437833145",https://maps.app.goo.gl/88AY4sNzZERAKCD19,28/01/24
İstanbul parrilla,"2,20 €","Pg. de Fabra i Puig, 211, Nou Barris, 08016 Barcelona",Nou Barris,"41.43016642909363, 2.1760456352311257",https://maps.app.goo.gl/ZK1XXYFSvdbawZK56,29/01/24
Livingstone,"2,60 €","Rambla de Fabra i Puig, 68, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.43031962685466, 2.1864179976759495",https://maps.app.goo.gl/wnNfwoShx3fyqbef9,30/01/24
Bar Estrella,"2,20 €","Av. Diagonal, 10, Sant Martí, 08019 Barcelona",Sant Martí,"41.411234085031076, 2.217577353829852",https://maps.app.goo.gl/gUmkB8kjVKup65aR6,31/01/24
Ïbar,"2,00 €","Rambla de Fabra i Puig, 66, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.430295829794495, 2.186486845194863",https://maps.app.goo.gl/upPDU992fgpcmp3n6,2/02/24
Cerveseria El Racó De Sant Andreu,"2,10 €","Avinguda Meridiana, 414, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.432031875538236, 2.1834996627737056",https://maps.app.goo.gl/QanWxykNtTYcTvhB8,2/02/24
Bar Taberneta,"2,20 €","C/ de Felip II, 291, Nou Barris, 08016 Barcelona",Nou Barris,"41.42911214722657, 2.175258458532866",https://maps.app.goo.gl/QanWxykNtTYcTvhB8,3/02/24
Bar Restaurante La Pubilla,"2,45 €","Rambla de Fabra i Puig, 96, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.43028819175985, 2.18534966577336",https://maps.app.goo.gl/aUgzCUVmxyuqR7ux8,4/02/24
Granja Sant Jordi,"2,10 €","Carrer de Martí Molins, 39, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.4237674, 2.1883707",https://maps.app.goo.gl/M7wKhjwrHd7N9pug9,5/02/24
